fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
132,GROOT DAVELAAR,57,140,2.5,67,10.7,62.9,26.4,60.7,39.3,39.6,28.8,31.7,2.9,69.6,7088,,,,5.4,8.8,40.7,39,13,1.6,,,
133,VAN ENGELEN,228,534,2.3,78,18.4,62,19.7,63.6,36.4,36.4,31.9,31.7,3.5,57.6,8520,61,4,62.4,8,0.9,21.9,52.6,9.1,8.4,,,
134,VEERIS,284,787,2.8,84,21.9,65.8,12.3,82.6,17.4,17.5,14.7,67.8,6.4,61.2,3991,25,12.7,58.7,72.7,12.4,39.7,33.4,7,11.9,,,
135,VERGENOEGING,57,177,3.1,79,23.2,61.6,15.3,83.1,16.9,16.9,18.6,64.4,5.7,58.6,4492,,,,8.8,3.5,31.8,41.7,6.8,17.4,,,
136,VERGENOEGING BIJ KOLONCHI,41,115,2.8,72,18.3,67.8,13.9,61.7,38.3,38.3,29.6,32.2,4.8,75,8346,,,,12.2,2.7,34.1,42.9,6.6,7.7,,,
137,VERS,97,283,2.9,78,22.6,62.2,15.2,82.9,17.1,17.1,12.9,70,7.3,67.9,3296,,10.9,54.3,54.6,9.4,47.6,30,5.7,10,,,
138,VETTER,59,139,2.4,96,20.1,66.9,12.9,77.5,22.5,22.5,15.9,61.6,1.5,56.2,3970,,,,10.5,10.2,44,32.1,7.3,10.1,,,
139,DOMINGUITO,469,1197,2.6,83,14.9,65.3,19.8,74.4,25.6,25.6,21.9,52.4,4.8,67.2,5225,43,5.8,56,5.3,6,38.2,32.2,9,11,,,
140,VREDENBERG BIJ KINTJAN,332,814,2.5,88,18.1,63.6,18.3,54.7,45.3,45.6,26.6,27.8,6.5,70.8,7026,30,4.8,59.7,8.5,2.7,30,49.6,6.8,7.8,,,
141,VREDENBERG BIJ STA. MARIA,162,433,2.6,80,15.2,60.5,24.2,76.7,23.3,23.4,15.2,61.4,2.3,70.4,5243,30,5.5,56.5,6.2,6.2,39.8,36.7,8.4,6.4,,,
142,KLEIN MARCHENA,203,510,2.5,88,17.6,71,11.4,82.3,17.7,17.7,18.7,63.5,1.8,69.6,3262,51,10.7,60.2,16.7,11.3,43.8,29.8,5.4,13.1,,,
143,WATERLOO,888,2521,2.8,87,25.4,71.1,3.5,70.8,29.2,29.3,22.3,48.4,6.2,60.6,8292,34,3.2,74.4,4.7,0.7,28,52.4,2.1,9.4,,,
144,GROOT KWARTIER ZUID,40,126,2.6,84,14.3,52.4,33.3,58.7,41.3,41.6,25.6,32.8,3.3,71.9,7241,,,,,1.8,28.6,48.6,11.4,4.8,,,
145,WAWU BIJ LUDUNU,38,123,3.2,78,17.1,67.5,15.4,89.4,10.6,10.6,7.3,82.1,1.6,66.4,4448,,,,42.1,5.3,51.5,33.7,4,7.9,,,
146,GROOT PISCADERA,240,749,2.7,94,12.4,78.4,9.2,72.1,27.9,28,18.2,53.8,14.1,60.2,8385,40,7.8,66.4,10.5,2.5,39.9,40.7,3.3,9.3,,,
147,GROTE BERG,289,841,2.9,94,26.4,68.7,4.9,60.8,39.2,39.4,16.7,43.9,14.4,53.7,9767,46,5.2,68.5,13.6,0.4,22.6,55.9,1.9,16,,,
148,HAMBER,20,60,3,,,,,,,,,,,,,,,,20,25,52.9,35.3,7.8,0,,,
149,HANENBERG,232,618,2.7,86,21.2,67.3,11.5,77.1,22.9,23,15.8,61.2,4.9,60.4,5833,30,7.8,66.1,6.1,3.5,34.6,39.3,5.1,13.2,,,
150,HARMONIE,63,159,2.5,94,19.5,65.4,15.1,85.5,14.5,14.6,8.2,77.2,1.3,59.7,3477,,,,3.2,7.9,44.8,32.8,6.4,11.2,,,
151,HOENDERBERG,111,280,2.5,67,18.2,73.6,8.2,81.1,18.9,19,22.2,58.8,3.5,60.2,7024,,2.5,69.4,6.4,,37.3,45.3,1.8,4.4,,,
152,WEIS,330,816,2.5,81,13.7,64.8,21.4,78.1,21.9,22,20.4,57.7,2,64.1,4401,46,7.6,56.4,10,4.3,36.6,36.9,8.8,8.7,,,
153,ILAND,56,152,2.7,88,20.4,62.5,17.1,64.5,35.5,35.5,27.6,36.8,0,81.1,6513,,,,1.8,3.6,31.7,43.3,6.7,12.5,,,
154,JAN BOOS,127,339,2.7,85,18.6,68.7,12.7,79.3,20.7,20.7,15.6,63.8,3.7,65.2,5142,,9.6,64.1,4.7,7.1,36.3,34.5,6.7,13.1,,,
155,QUINTA VIOLETA,152,395,2.6,95,21.5,67.6,10.9,56.5,43.5,43.7,33.8,22.6,1,65.4,4449,,5.7,67.4,13.2,16.7,28.7,44.3,6.2,13,,,
156,JAN SOFAT,219,580,2.6,95,20.7,64.7,14.7,47.6,52.4,52.6,30.1,17.2,6.7,71.6,11988,95,3.5,61.3,5.1,,15.5,63.6,4,11.5,,,
157,JAN THIEL,590,1490,2.5,87,21.3,68.9,9.7,55.4,44.6,44.6,26.4,29.1,9.2,61.4,11165,53,3.4,69.7,3.1,0.5,20.7,55.7,4.1,11.4,,,
158,JANCHI WEVER,22,58,2.6,,,,,,,,,,,,,,,,13.6,,23.9,69.6,0,4.3,,,
